,title,description,average_score,number_of_reviews,type
1085,Shadows,"From inside the binder on the first page: The Traveller Adventure Titled Shadows was used as the Traveller Tournament situation at WinterWar 1980, held at the University of Illinois, Urbana-Champaign, January 18, 19 and 20, 1980 Pre-Publication Draft This is 3-hole punched in a Black ""official"" Traveller Binder. These were sold at the GDW booth at Origins 1980 is is believed (I'm trying to follow up with Marc Miller on this). I know that at least 10 were sold and perhaps more. This was eventually turned in one of the two adventures in Traveller: Double Adventure #1",0.0,0,TTRPG
1086,Demon's Pawn,In Demon's Pawn characters of 4th-8th level must face down the demon lord Arekitach in his citadel to save their very souls.,0.0,0,TTRPG
1087,Ravensgate (2nd Edition),"Ravensgate provides an introduction to the slums and back alleys of Carzal, the capital of Ilchania. For character levels 1-4.",0.0,0,TTRPG
1088,Sector 57: Tournament Science Fiction,"user summary A tournament SF scenario for 2 players based (roughly) on classic Traveller. From p.20 of the referee's guide: Many of the concepts in Sector 57 have been adopted from Traveller game elements. You will note that H'alster and Monorian are glorified characters from the GDW system. NOTE: Traveller is not needed to play this scenario. The module contains the following components: 24 page 8.5x11"" referee's guide 11x25.5"" (trifold) referee's shield Players situation sheet (8.5x11"") 2x player character info sheets (8.5x11"") 3 additional 8.5x11"" sheets with figures/maps for the scenario",0.0,0,TTRPG
1089,Supergame (1st Edition),"The first comicbook superhero role playing game to give you: Complete rules and combat systems for any role playing situation Total player control in character construction The only fully quantified, unlimited combination armor system of any fantasy role playing game",0.0,0,TTRPG
1090,Adventuring Party 2013,"Figure Set for Adventure Gaming From the back of the box: ""This 25mm fantasy figure set is specifically created for the fantasy role playing gamer. ADVANCED DUNGEONS & DRAGONS is a trademark owned and licensed by TSR Hobbies, Inc. The policy of GRENADIER MODELS is to constantly upgrade our product & we reserve the right to alter specifications and contents without prior notice."" This set includes: A. Faf- Armored Dwarf w/War Axe B. Rayr- Half-Elf Fighter/Magic User C. Norien- Female Magic User D. Snow-Slinging Druid E. Charn-Warrior in Plate F. Morhir-Monk with Spear G. Kereo-Cleric in Plate w/Flail H. Dent- Bard with Bag-pipes I. Mellison-Halfling Fighter/Thief J. Choff-Female Ranger in Splint",0.0,0,TTRPG
1092,GamesMaster Catalog:  A Comprehensive Illustrated Guide to Games,"From the back cover This is the first comprehensive catalog on games. The new fully-illustrated GamesMaster Catalog contains photographs, descriptions and prices of the products manufactured by over 190 games companies. Nearly half of the 1,000 items listed are in full color. The GamesMaster Catalog is the most complete and up-to-date source available - an essential reference book for every game enthusiast! Contents Introduction Fantasy Role-Playing Games, Adventures & Playing Aids Fantasy & Mythology Games Science Fiction & Science Fantasy Games Historical & Contemporary Games Gaming Miniatures & Miniature Rules Accessories for Gaming Computer, Video & Electronic Games Educational & Children's Games Sports Games Leisure Time & Family Games Books & Magazines Play-By-Mail (PBM) Games Future Releases Manufacturers Index Game Category Index Product Index 1981 Game Convention Calendar",0.0,0,TTRPG
1093,"Dawnworlds, Gateway to the Open Cluster","From the back of the book: Dawnworlds, The Gateway to the Open Cluster is a unique and exciting new space sector supplement for any S.F. roleplaying game. Dawnworlds is different from other space supplements in that it is complete with history, detailed planet specifications, ship diagrams and deck plans, encounter matrix, and new fully described technologies. The Open Cluster is fully maped(sp) and DAWNWORLD is written like a S.F. novel with lavish NPC developement(sp). Also, it is written by published S.F. writters(sp) for adult S.F. enthusiasts. The writters(sp) have sfollowed the guidelines that DAWNWORLD must be different and excitingm(sp) not just different; strange and interesting, not just weird; planned, logical, and realistic, not just a hodgepodge of ideas pulled from various S.F. books. In this attempt the writters(sp) have suceeded(sp) admirably and have created a fantastic framework for the referee to spin his space adventure on. The book is stapled sheets inside a 4-fold map that make up the cover. Although it claims to be for any system, much of the terminology within is very traveller specific (jump drives, Xboat routes, etc.)",0.0,0,TTRPG
1095,Arduin Character Sheets Combined Pak,"Includes twenty-four different characters on individual sheets. Intended for use with Arduin but advertised as ""compatible with most fantasy role-playing systems"". Included various races, classes, and genders. Includes one character sheet (single page, single-sided); remaining pages are full-page black-and-white character art.",0.0,0,TTRPG
1098,Melanda: Land of Mystery (1st edition),"Presumably similar in systems to Melanda: Land of Mystery (2nd edition). It included character sheets and an adventure titled ""In Search of Starfax,"" which the 2nd edition did not. Edit: actually, the character creation system was different. The second edition streamlined it, but the first edition had some interesting ideas which were sadly cut.",0.0,0,TTRPG
