,title,description,average_score,number_of_reviews,type
5407,"The Tired, Hungry, and Poor","A Three-Round Tournament From the introduction: In the Land of Fate there is a city named Jeffiah, which lies at the foot of the plateau that forms the High Desert. This beautiful city was built many hundreds of years ago around a sacred oasis which harbored a pool of golden water.",0.0,0,TTRPG
5419,Battle Scarred Veterans Go Hiking,"The PCs are normal people - well, slightly subnormal, though not as low as LARPers. The GM's job is to put sub-normal characters into stressful situations until the GM feels better about what the players did to him/her in their last D&D game. That should teach them to be rules lawyers! Simple rules, d100 system, much flexibility on the part of the GM is required.",0.0,0,TTRPG
5421,"Masks of Darkness (Sin City, Vol. 3)","'Just what the hell is going on here?' Something is happening behind the scenes in New Centennial City. A gang war has erupted in the Projects and an influenza epidemic sweeps the city. Meanwhile, a man has gone missing and no one seems willing to help find him. The players get asked to help and inadvertently get pulled into a web of lies, deceit and confusion. Masks of Darkness introduces several new underground ernpathic cells that are active in New Centennial City. They, together with the players, will work together to uncover the truth that lurks behind the facade of everyday city life. If the players aren't careful, they could get more than they bargained for.",0.0,0,TTRPG
5425,The Book of Secrets,"The Book of Secrets was the seventh Ravenloft Netbook published by the Kargatane, a group of Ravenloft fans who went on to run the official fan site for many years. The Book of Secrets is a collection of articles about the people, places and monsters of the Ravenloft and Masque of the Red Death settings. It also contains some new rules, and articles on running games in those two settings. From the preface of the book: The first step towards vice is to shroud innocent actions in mystery, and whoever likes to conceal something sooner or later has reason to conceal it. - Jean-Jacques Rousseau Secrets by their very nature are an effectual contrivance of horror. Ever since Horace Walpole first penned The Castle of Otranto, the secret has been a cornerstone of the Gothic genre that has grown into the horror literature we know and love today. Secrets can be extremely dangerous, whether they remain hidden or are inopportunely revealed. It should be no surprise that the Demiplane of Dread is a land of many secrets. The Kargatane are pleased to present the third annual Ravenloft Netbook, The Book of Secrets. Herein lie the secrets of many talented Ravenloft® and Masque of the Red Death® fans. We have dutifully collected their secrets for several months, and now choose to reveal them to you on this darkest of nights. In the pages that follow, you will find many secrets of the Demiplane of Dread and Gothic Earth revealed. Now you must ask yourself, ""are these secrets I keep, or secrets I reveal?"" If you are truly fortunate, the Dark Powers and the Red Death will not take notice of your choice.",0.0,0,TTRPG
5436,Ravaged Planet,"From the back of the book: Ravaged Planet is the player's guide for Brave New World. It comes packed with all sorts of information to immerse players in this sharply realized setting. Besides all the vital details, there are 10 brand-new power packages for players to build new kinds of heroes with. Plus the book introduces one of the most power factions in Brave New World: The Covenant.",0.0,0,TTRPG
5448,The Death Hand of Saint No-One,"An official scenario for the Continuum roleplaying game published on their web site at http://www.aetherco.com/continuum/downloads.html. Designed for 4-8 players, plus a GM. From the web page: 1990s Brooklyn spanners encounter a little-known figure of the 10th Century who's misplaced a reliquary containing bits of himself. Antiques Roadshow ain't got nothing on this.",0.0,0,TTRPG
5452,The Mind's Eye Theatre Introductory Kit,"[Back cover] Beyond dice Beyond table-top Beyond traditional roleplaying Join the next generation of roleplaying entertainment -- Live-Action Roleplaying This FREE quick-start introductory kit gives you everthing you need to step into character and become one of the lords of the night. New York Times, Dateline, Newsweek, Spin -- everyone's talking about the phenomenon of live-action Vampire: The Masquerade. Try it yourself and see what roleplaying entertainment can be. To learn even more about live-action Vampire, check out the new revised edition of Laws of the Night for the complete rules of live-action roleplay. Laws of the Night contains all of the clans, all of the rules and a full introduction to the setting of Vampire: The Masquerade. Available in regular and deluxe editions, as for Laws of the Night wherever you picked up this quick-start.",0.0,0,TTRPG
5458,The Brand X Hero's Guide,"The Brand X Hero’s Guide The rest of the rules tell you how to create a superhero, what your numbers mean, and the rest of that shit. This book gives you some pointers on how to play the damn game. Consider this a primer on the physics, sociology, and politics of a world with super heroes. This is a world where anything can happen, and, sooner or later, everything does. Men & Supermen website",0.0,0,TTRPG
5466,The Body Farm,"From the front page: The Body Farm A Single Session Virtual Seattle Adventure By Mark Somers From the introduction: With a rather bemused experssion on her face she will explain that the nature of this job is somewhat distasteful, but she expects that the often-elastic morals of teh runners should be able to cope. The mission is to gain posession of the whole body of Dr Robert Carling, without anyone knowing that they have done so. The good doctor - a forensic examiner with the Seattle Coroner's Office - died two months ago. He was buried in Bellevue, in quite a nice marble edifice.",0.0,0,TTRPG
5467,Guia de Itens Mágicos,"From the back of the book: ""Este Guia foi criado especialmente para Mestres Jogadores de qualquer sistema de Fantasia, Horror e Aventura, e contém uma das maiores coleções de Objetos Mágicos já vistos no mundo dos RPGs. Ao todo, os Guias trazem para você mais de 1.000 Itens Mágicos, entre Anéis, Poções, Óleos, Elixires, Varinhas, Cajados, Varas, Gemas, Pedras, Amuletos, Correntes, Braceletes, Botas, Roupas, Bolsas, Capas, Armaduras, Espadas, Escudos, Machados, Lanças, Varinhas, Cetros e uma infinidade de outros objetos místicos. Contém também dezenas de Artefatos, todos provenientes da mitologia grega, egípcia, babilônica, judaica, cristã islâmica, russa e outras culturas, incluindo a Cabeça da Medusa, a Arca da Aliança, o Martelo de Thor, Machado de Xangô, Pomo da Disórdia, o Santo Graal e Excalibur. Todos os Itens e Artefatos possuem detalhes, lendas, histórias engraçadas e variações a respeito deles, que podem ser utilizados por Mestres e Jogadores como pano de fundo para aventuras e campanhas. Tudo isso recheado com centenas de desenhos para ilustras os itens mais conhecidos, desta forma você pode saber exatamente que objeto seu personagem está carregando. O GUIA possui descrições de jogo de cada objeto, e regras simples que permitem adaptá-los para QUALQUER livro de RPG existente. google translation From the back of the book: ""This guide was created especially for Masters players of any system of Fantasy, Horror and Adventure, and contains one of the largest collections of magical objects ever seen in the world of RPGs. In all, the Guides to bring you over 1,000 Magic Items, including Rings, Potions, Oils, Elixirs, Wands, Staves, Rods, Gems, Stones, Charms, Chains, Bracelets, Boots, Clothing, Bags, Covers, Armor, Swords , Shields, Axes, Lances, Wands, Scepters and a host of other mystical objects. It also contains dozens of artifacts, all from Greek mythology, Egyptian, Babylonian, Jewish, Christian, Islamic, Russian and other cultures, including the Head of Medusa, the Ark of the Covenant, the Hammer of Thor, Shango Axe, Pomo's Disorder, Excalibur and the Holy Grail. All Items and Artifacts have details, legends, anecdotes and variations of them, which can be used by Masters and Players as a backdrop for adventures and campaigns. All this filled with hundreds of drawings to illustrate the most popular items, so you can know exactly what object your character is carrying. The GUIDE has descriptions of each game object, and simple rules that allow them to adapt to ANY existing RPG",0.0,0,TTRPG
5469,"Wildblades: The ""Easy-Play"" Fantasy Fuzion Rules","From Introduction: This is your introduction to the exciting world of fantasy roleplaying in the Fuzion system. Using these rules, you can run or play in a fast-paced, versatile game in just a few minutes. Better still, characters created with these rules are fully compatible with full Fuzion games.",0.0,0,TTRPG
5470,Chromebook 1 to 4 Conversions,"From the authors website: This book has Shadowrun game stats for 99.9% of all gear, weapons, chips, programs, vehicles, cyberware, and nearly everything else from all four Chromebooks (for Cyberpunk 2020), plus a few new sample characters thrown in as a bonus. You'll need to buy the Chromebooks to really use the conversions. Edition: Second & Third Even if you own the earlier Chromebook Conversions, this book is worth the download, as it has game statistics for use with Virtual Realities 2.0, Cybertechnology, Rigger 2, and Shadowrun, Third Edition as well as stats for use with earlier rulebooks! Also included are updates for the Plastic Warriors books Running Gear, Tech Specs, Project: 3, and Paranoid Animals of North America!",0.0,0,TTRPG
5473,Mind's Eye Theatre Prop Deck,"A deck of 100 cards (two of which are the front and back cover) for use with the various Mind's Eye Theatre live action role-playing games. These represent a variety of props, from physical items such as modern and medieval weapons, to cards denoting the various supernatural traits of game characters (Blood, Rage, Gnosis, Pathos, Glamour, Willpower).",0.0,0,TTRPG
5477,Apocrypha,"From the archived website: ""The Apocrypha system is designed so that the bulk of the players’ effort will go toward character generation. Once the points are spent and the character’s design finalized, the three six-sided die system runs quickly and efficiently during play, so that the director can direct and the players can play without mathematics distracting them from their roleplaying. Every character has access to magic, and technology quite comparable to that used by the players themselves can be had among the scientific races and in the larger cities. Games have an enormous variety of physical setting, from the remote heights of the Palashome Mountains where the Children of Ouliria, sentient cousins of the fiercest birds of prey, hunt freely for booty and trophies of glorious kills, to the equally treacherous streets of Miroc, the urban nightmare that has come of mixing the eleven races under no law but survival of the boldest."" Core book has two parts, ""Book One"" and ""Book Two"", the latter of which is the directors (game masters) resource.",0.0,0,TTRPG
5482,The Book of Wird,"(from the back of the book) Open your mind to the infinite possibilities of Wird. The Book of Wird, written by Steven S. Long is the ultimate guide to magic in Providence. This massive tome includes fantastic spells for a wide range of Wird casters, including the familiar distinctions of Wird Weaver, Wird Dancer, Wylder and the vile Blight Crow, as well as the new Bright Orioles and Faithsingers. In addition, the Book of Wird includes spells for many of Providence's professions, such as the Recognizers, the Slaywinds, and the D'Shau monks. This encyclopedia of Wird also provides numerous secret spells for the Serpenkine. the Green People, the Swarm Dancers and the White Crow. Finally, the Book of Wird provides magic items and detailed rules on their creation.",0.0,0,TTRPG
5483,Zenobia,"From the Foreword: ZENOBIA is the fantasy roleplaying game of adventure and magic in the ancient world. It is a world where the deserts are home to fierce Saracen tribes, lost cities, sphinx and scorpion-men. And where the cities are home to scheming princes, bandit kings and sinister cults. Opportunity and adventure are everywhere. There are centuries-old tombs to be robbed (if their fiendish residents can be defeated), ancient underground complexes full of obscure traps and breath-taking treasures that were left behind by the gods, palaces owned by fabulously wealthy kings, and temples dedicated to the gods - temples whose physical defences cannot compare with their magical enchantments. From hundred-gated Thebes to the oasis city of Palmyra, from the wealthy caravan city of Carrhae to the strict religious city of dusty Hierosolyma, adventure awaits the brave, the foolhardy and the greedy. And for those who fail, the Afterlife beckons, or worse - perhaps slavery on a rowing bench in a Tyrian war galley, or a life in the Turquoise mines of Sinai.",0.0,0,TTRPG
5488,By the Light of the Silvery Moon,"From the front page A one round Shadowrun Virtual Seattle Tournament for Shadowrun 3rd Edition By Scott Spencer From the Module Summary This is a tale of greed, corruption, betrayal, and magic. Just a few of your favorite things, Hoi Chummer?",0.0,0,TTRPG
5490,Blade of Arcana,""" ""Blade of Arcana is a Japanese language epic fantasy role-playing game released in 1999. Its setting is similar to medieval Europe, including strong church of monotheism, religious wars and knight-errants. Player characters, called Engraveds are engraved on their bodies the three stigmatas of 22 Arcaeus (apostles of the light) and can use miracles three times every a session. There are 22 classes (called arcanas) corresponding to Major Arcana of tarot divination. The names of arcanas are same as Arcaeus' ones and named with Latin, for example: Mater (clergy), Adamas (knight), Dextra (alchemist) and Ignis (archer). Players choose three arcanas during character creation. Three arcanas represent character's past, present and future. For instance, he might have lost the throne in the past if his past arcana is Corona (represent royal). In contrast, He may have the destiny that he will ascend to the throne if his future arcana is Corona. The person who has more than three stigmatas is called Marauder and slayed by Engraveds because he has the sin of arrogance and unbelief. But every player character also will become Marauder if his Dignity Point (DP) is lost. At the game's climax, Marauders always shout that ""Dedicate Stigmata! We shall hold Lammas tonight."" as a traditional statement. The game system uses only 20 sided dice and special tarot cards."""" Source: Wikipedia, ""Blade_of_Arcana,"" available under the CC-BY-SA License.",0.0,0,TTRPG
5492,Children of Clay,"Official Expansion the freeware Children of Fire Free RPG. Publisher Blurb: ""With Children of Clay, the first in a long line of supplemental works, we try to remedy some of these ambiguities. The focus here is to better explore the material world and it's mortal inhabitants. We will traverse the course of human life, from birth to death and after. Along the way we'll discuss issues of faith, belief, sorcery, and touch on some of the more important historical figures in our world. Additionally, we will explore the possibility of creating human PCs to be played in the game and all the benefits and disadvantages of doing so.""",0.0,0,TTRPG
5495,In Too Deep,"From Introduction: The operatives are just going on holiday, after a grueling four months of training the bodyguard team of an African nation’s President. Two weeks of hiking around Europe looks about right, and they’re going to walk over the Netherlands and Denmark. But first, they have to get there… User note: This was a GenCon UK 1999 adventure.",0.0,0,TTRPG
5496,The Damp Man,"The Damp Man (subtitled Swim Meet of Doom!) is s concise adventure for Call of Cthulhu. The adventure is adapted from the story ""The Damp Man"" by Allison V. Harding. It was originally published in the Chaosium Digest (periodical e-mail digest). The adventure is set in the modern time period but can also be readily adapted to the 1920s. The adventure begins with the investigators attending a local girls' swimming competition in the early qualifications for the state swimming championships.",0.0,0,TTRPG
5498,Fools & Heroes Players' Guide,"From the Introduction: This guide aims to provide you with essential player information for use in the Fools & Heroes national live role-playing system. It will also provide a basic outline of the way in which the Society is organised. It is not designed to give players all of the possible information, but to outline that information which any starting character should have. Hopefully it should encourage both new and existing players to explore the opportunities afforded by the F&H national campaign.",0.0,0,TTRPG
5499,The Light Fantastic,From the introduction: A Forgotten Realms Adventure set in the lands of the Savage North for the Adventurer's Guild Retail Play Program. User summary: This scenario uses resources presented in Demihumans of the Realms.,0.0,0,TTRPG
5500,Campaign HQ's Guide to Villains and Vigilantes,"From the introduction: Campaign Headquarters [was] a World Wide Web site dedicated to providing a variety of resources to game masters of Villains and Vigilantes Second Edition, and the more recent Rules Upgrade...Much of the material presented here is generic enough to be used not only with these rules, but with the rules for Champions, Gurps: Super, Heroes Unlimited and most other superhero-based role-playing games.",0.0,0,TTRPG
5529,River of Blood,"Scenario Description: ""The Millstream runs red with the blood of the abducted children of Greyhawk's lower class, triggering memories of a crisis thought averted long ago. An adventure for characters levels 1-3.""",0.0,0,TTRPG
5579,Road Wars!,"From the Packaging: It's time for the demolition derby, baby! Here are over 45 cars, trucks, vans, motorcycles, and tractor trailers for your Wasted West posse to use and abuse! This set is exactly what you need to add a little road rage to your Hell on Earth roleplaying game, or use with our free miniatures rules -- High Noon -- available on our Weird Website (www.deadlands.com).",0.0,0,TTRPG
5596,Superheroes INC. Arcanos,"From the introduction: Superheroes Inc. is a spanish role playing game that was published first in 1994. In Spain, it was the first role playing game of superheroes, with a comic-book style. The game system in Superheroes Inc. is the percentual system, based on the original idea from the american Basic Role-Playing system. Superheroes Inc. describes a complete universe of superheroes and supervillains, secret organizations and cosmic entities. Altogether with an original ambientation placed in Europe, specifically in Spain. The systems describes the following types of superheroes or metahumans: * Inhumans * Avenging * Arcanes * Mutants * Gods * Technohumans For each of this types, a basic book was published, containing the core rules and additional information for the type of superheroe described. This is Superheroes INC. Arcanes. Arcanes are normal humans which have devotes their lifes to the study of the Ocult Knowledge. They can use secret and unique spells and control elemental forces. They must control the Magic Energy, spending years to this knowledge and wisdom. Superhéroes Inc. es un juego de rol español publicado por primera vez en 1994. Fue, en España, el primer juego de rol de superhéroes, con un formato e ilustraciones estilo comic-book. El sistema de juego utilizado en Superhéroes Inc. es el conocido sistema porcentual, basado en la idea original del sistema estadounidense conocido como Basic Role-Playing. En Superhéroes Inc. se presenta todo un universo propio de superhéroes y supervillanos, así como organizaciones secretas y entidades cósmicas. Todo ello desde una perspectiva original, ya que la mayoría de las aventuras y tramas, se desarrollaban en Europa y más concretamente en España. El sistema detalla los siguientes tipos de personajes, cada uno con sus listas de poderes y características: * Inhumanos * Justicieros * Arcanos * Mutantes * Dioses * Tecnificados Para cada uno de los tipos, se publicó un manual básico conteniendo las reglas básicas comunes más algún material adicional para un tipo concreto de personaje. Este es Superheroes INC. Arcanos. Los Arcanos son humanos normales que han dedicado su vida al estudio del Saber Oculto. Pueden utilizar hechizos secretos y controlar fuerzas elementales. Los Arcanos deben manejar la Energía Mágica, dedicando años al saber y el conocimiento.",0.0,0,TTRPG
5601,More Leaves from the Inn of the Last Home,"From back cover: Inside this volume you will find articles on many subjects, including: Que-Shu divination practices Lord Gunthar's Last Will and Testament Fashions of Krynn And always, music, recipes, kender sayings, and much more",0.0,0,TTRPG
5607,Grimoirium Monstrum,"From the introduction: ""Within this grimoire are beasts, both ordinary and magical. Regarding F.A.T.A.L., this is a teratalogical treatsie; it is a collection, notarization, and study of creatures. Everything that MM's need to know in order to introduce monsters to their games is included in this book. When possible, beasts of fantasy have been based on mythology, not whim.""",0.0,0,TTRPG
5613,Sketch Character Generator,"This is simply, a green No. 2 pencil that says ""SKETCH CHARACTER GENERATOR"" on its side. This was a free promotional item given out by the designers at Gen Con 2000.",0.0,0,TTRPG
5616,Starter Pack,"From the Packaging: Add a third dimension to your Deadlands: Hell on Earth game! Inside this pack are over 200 wasters, brainers, and abominations awaiting your command! Use them with the Hell on Earth roleplaying game, or with our free miniatures rules--High Noon--available on our Weird Website (www.deadlands.com).",0.0,0,TTRPG
5650,Bad Day at the Lab,"Bad Day at the Lab is a ""Weird Science"" adventure for the Fudge roleplaying game. It's set in the modern day, with some implausible twists ... The characters in Bad Day at the Lab are working on a thought-transference gadget. They don't realize they've been successful until certain events are set in motion ... Six characters are provided. Map of the lab included.",0.0,0,TTRPG
5675,Dragon Scales at Morningtide,"This is the first Core scenario of the Living Greyhawk RPGA campaign, and was released for play in Year 1 of the campaign (August 2000-2001; CY 591 in the Greyhawk campaign) Adventure Blurb: ""Strange black currents and droves of beached fish are being linked to a strange new cult in the city of Greyhawk. Are the cultists responsible, or just part of a larger danger? An adventure for characters levels 1-4.""",0.0,0,TTRPG
5676,The Spear of the Lohgin,"An Adventure for Four to Six Players, Levels 4-6 From the Back of the Book: Everything dies, but not even death is eternal. The players are enlisted to investigate a strange plague that recently decimated the peaceful hamlet of Ashvan. What they find is a strange conspiracy revolving around the theft of a divine relic entrusted to a fallen order of knights. Now, the only thing that stands between the lands of the living and the lands of the dead is you...The Spear of the Lohgin is the first part of the Canceri Chronicles, a series of adventures that focus on the wicked nation of Canceri, a place of macabre horror and deadly intrigue. The first installment in the trilogy relates the tale of an ancient tragedy that returns to haunt the noble country of Milandir and reveals the initial threads of a plot to plunge the civilized nations of the world into an eternity of darkness.",0.0,0,TTRPG
5708,Dinosaur Planet: Broncosaurus Rex,"Dinosaurs, space travel, the Civil War, and the wild west, all mixed together in one epic world! The World of Broncosaurus Rex In the year 2202, dinosaurs have been discovered on the planet Cretasus. But these dinosaurs are just as smart as the humans now flocking to their home. Velociraptors trade in alien weapons, leptoceratops guard their desert secrets, and T-rex dynasties protect their nests from egg raiders. Despite the dinosaurs, human pioneers arrive in droves at New Savannah's busy spaceport. Lured by free land, gold, and simple freedom, they yearn for a new life. Their wagon trails soon trudge west on the rutted path of the Tecumseh Trail, bringing new adventures to Cretasus. Dinosaur Planet: Broncosaurus Rex is a science fiction world setting. The basic premise is that the Civil War did not end as we know it, but resulted in separate Federal and Confederate nations. This state continued into the space age. In the year 2202, an alien planet full of dinosaurs was discovered, opening new mysteries and establishing the world of Dinosaur Planet: Broncosaurus Rex. Your character could be a bronco rider, riding the dinosaurs for ranchers, farmers, the military, or pure adventure. You could be a soldier: a Union ironclad pilot, a federal sheriff, or a rebel blockade runner. You could be a street fighter come to find your fortune, or a homeworld dissident fighting for freedom. You could be one of the legendary Wild Ones, fearsome humans who leave human company to sleep with the dinosaurs. You could be a Union machinist, always equipped with the latest technology. You could be an idealistic infantryman, a freelance dino hunter, a warp pirate, a Union turncoat, an outer ranges explorer, a dino rustler, or an alien hunter. The world of Broncosaurus Rex is in your hands! Core Rulebook The Core Rulebook is the complete guide to adventuring in the universe of Broncosaurus Rex. It features: World background, history, and adventure ideas Six new character classes: Bronco Rider, Machinist, Soldier, Spy, Two-Fister and Wild One New feats and skills High-tech weapons and equipment Expanded rules for riding and fighting with dinosaurs d20 stats for 24 dinosaurs and other prehistoric creatures",0.0,0,TTRPG
5715,Terra the Gunslinger,"Source: Wikipedia Terra the Gunslinger available under the CC-BY-SA License. The game takes place in Terra, a fictional continent modeled after North America during the American Old West. Its theme is frontier spirit. The setting is fictitious, but actual historical Americans also appear as non-player characters. They include Thomas Alva Edison, Nikola Tesla, Jesse James and Belle Starr. There are guns and steampunk items representing lost technologies (for example, phlogiston generators or aetheric drives). Players face monsters called the Dark. Player characters may be automata, bounty hunters, gunslingers, preachers, saloon girls, steam-mages, U.S. marshals and other archetypes as they ride the transcontinental railroad on their way to the far western frontier.",0.0,0,TTRPG
5779,Blood of Heroes: Gamemaster Screen,Quadra-Paneled GM Screen with an adventure included.,0.0,0,TTRPG
5789,Age of Heroes (Version 4.0),"The core rules for the Age of Heroes roleplaying game. From the opening: ""Age of Heroes is suited to those campaigns desiring a high level of detail to simulate the works of High Fantasy or Sword and Sorcery genres. In particular the goal is a game that supports campaigns covering generations of adventures, across decades of time. Players could eventually run out of grandchildren of their original characters. ""We don't brag about 'simple and easy' rules. They aren't here. Age of Heroes is for those who desire highly detailed and tactically rich environments in which to game. You don't get that with 'simple and easy.'""",0.0,0,TTRPG
5790,Dragotha's Lair,"Publisher Blurb: Revisit the familiar territory that was first introduced in S2: White Plume Mountain by Lawrence Schick and later revisited by Bruce R. Cordell in Return to White Plume Mountain with this classic 2nd Edition Adventurer's Guild tournament called Dragotha's Lair. Dragotha's Lair is for five to six characters of 6th to 8th level and requires the use of the 2nd Edition Player's Handbook (AD&D 2e) and the Dungeon Master Guide. Not only does this adventure feature a dracolich and its lair, but it also comes with pregenerated characters and two maps. You don't need to have Return to White Plume Mountain to run Dragotha's Lair, though it certainly ties in well with that epic adventure.",0.0,0,TTRPG
5814,Primal Codex,"From Introduction: This book contains a wide variety of adaptable d20 enhancements designed around a primitive theme. Much of this material was developed from research on ancient Africa, Australia, Polynesia and America. Many of these enhancements are based heavily on real world facts or folklore. The rest is inspired by biology, anthropology and assorted other sources. This book is designed to be as easily adaptable to other campaign settings as possible. For example, in Chapter 1 there is a vagueness associated with the race’s religions, lands, relations, and languages. This is intended to facilitate adaptability. Players are encouraged to flesh out what they need and change what they don’t like. Throughout this book there has also been a number efforts made to maximize the use of space by omitting any none essential material. The reader might notice, for example, that the races are missing a number of standard entries such as “Names” and “Adventures.” Such information has been omitted and the space has been used to discuss more interesting rules elsewhere.",0.0,0,TTRPG
5818,Wuthering Heights roleplay,"From the Game's Introduction: This work is an adaptation of René le jeu de Rôle Romantique for British gentlemen. Here the Work of reference shall be Wuthering Heights, of course. Some original rules were not translated; in the French version, you'll find rules about large battles, psionic powers, vampyres, martial arts and more...",0.0,0,TTRPG
5843,Serial Experiments Lain,From the back cover: The essential reference guide to Serial Experiments Lain. Covers all 13 episodes,0.0,0,TTRPG
5959,40 Adventures for Call of Cthulhu,This web-published document contains forty separate adventures for the Call of Cthulhu game. Several of the adventures form series of two or three scenarios. All of the included adventures were previously published as stand-alone documents. The substantial compilation was initially published in 1998 and subsequently expanded and re-published in 2002.,0.0,0,TTRPG
5961,BESM Hellsing: Ultimate Fan Guide,"Taken from the back cover: Hellsing In the name of God, impure souls of the living dead shall be banished into eternal damnation. Amen. The essential reference guide to Hellsing Book #1 Covers Episodes 1-6",0.0,0,TTRPG
5967,The KwaiTana Anime RPG System (2nd Ed.),From the introduction: The KwaiTana (KT) system was made to be a multi genre anime system able to be used in many campaign settings with minimal complications. It is a quick and easy system which tries not to get in the way of roleplaying.,0.0,0,TTRPG
5975,7th Sea d20 Index,"User summaryThis free PDF download is a compiled index of the following books: Cathay: Jewel of the East Explorer's Society Heroes, Villains, and Monsters Islands of Gold: The Midnight Archipelago Swashbuckling Adventures Swashbuckling Arcana The index is divided into the following categories: Base classes Prestige classes Skills Feats Sorcery and magic Unique ships Ship abilities Creatures Items and equipment Feature characters Generic characters",0.0,0,TTRPG
5979,The Complete Guide to Velociraptors,"Publisher Blurb: Velociraptors are not the largest dinosaurs, nor the strongest, nor the scariest. A tyrannosaur can eat a tribe of velociraptors for dinner, a brachiosaur shakes the earth with every footstep, and a kronosaur can swallow a boat whole. Yet velociraptors are the most feared of all dinosaurs, for a single reason: they are smarter than humans. Homo sapiens' tool-using opposable thumb is its only advantage over velociraptor mongoliensis. But in game worlds where raptors can observe humans and their tools, the raptors learn quickly, and the advantages of a thumb diminish with every passing day.",0.0,0,TTRPG
5990,"Monsters, Magic, and Sky Ships","From the Back Cover Sky ships, flying castles, cloud cities, and airborne monsters: all of this and more awaits you in the Aerial Adventures Guides. These stand-alone sourcebooks contain new character options, races, monsters, feats, items, and adventure ideas, plus aerial combat rules and sky ship design guidelines. Best of all the aerial adventure guides can be integrated into any fantasy campaign - after all, no matter what worlds sits at ground level, anything can float above. The series is divided into three volumes. The first covers rules, the second overs settings, and the third covers monsters and items. each of the three volumes can be used separately or they can be combined and used together. Monsters, Magic, and Sky Ships is the third volume in the Aerial Adventure Guide series. It includes everything needed to populate the sky lanes of your campaign: new magic items and properties, strange new monsters, and a wide selection of flying sky ships. Features: Sky ships ranging from gnomish autogyros and zeppelins to undead hulks, halfling villageships, and orc junkheaps. A wide assortment of aerial creatures, including new devils, dragons, and golems of the air, as well as flying beasts like the plague vultures and rain sprites. New magic items suited to aerial adventures round out the mix. Volume One, Rulers of the Sky, covers the basics of aerial adventures. Volume Tow, Sellaine: Jewel of the Clouds, describes aerial settings, including the sky elf city of Sellaine.",0.0,0,TTRPG
5993,Krull,"A D20 Campaign Setting and Adventure for Character Levels 7 - 9 From the Introduction: Summary A futuristic invader attacks a fantasy milieu; the heroes must fight back to defend their home and their legacy. Campaign in Brief This campaign is a D20 fantasy supplement. It requires use of the Dungeon Master's Guide and Player's Handbook to play. It is compatible with the Spelljammer campaign setting. It can also be used with the Dragonstar campaign setting. The Beast's Black Fortress crosses the void of space, hopping from planet to planet. Once the Black Fortress lands, Slayers spill out of its womb, burning villages and towns, torturing and slaying everyone in their path. The Beast will accept nothing less than genocide in its conquest of every planet for its own, dark purposes. What it does with a planet once it takes over is unknown, but it's clear that the Beast and its Slayers have powers far outstripping the cultures they invade. The Role of the Heroes There are several ideal situations to introduce the player characters (PCs). Two examples include: an armed guard contingent protecting the prince, or a ragtag band of bandits and mercenaries who later swear their allegiance to the king in a battle of survival. Prince Colwyn is not picky about who will be in his ""army"" -- he's desperate enough to consider anyone who isn't with the Beast. This sort of campaign is recommended for a more combat-oriented group. If there are spellcasters, none of them should have a means of teleportation. Theme The Beast and his minions have an eerie, science fictionish bent, although there is not actually anything to indicate that they use technology. The Slayers are alien, the Black Fortress looks like a scene out of Aliens (the movie) and everything looks like a desiccated skeleton. With the Beast's Black Fortress flying through space, it could easily invade any game world. The Beast's tactics are inelegant but effective, as the Slayers are immune to most environmental hindrances (asphyxiation, poisons, food, fatigue, etc.). While not particularly powerful singly, an army of these beings will easily outstrip even a well-armed contingent of knights through sheer numbers alone. From the Publisher's Website: This D20 Fantasy campaign setting/adventure includes an adventure synopsis and campaign setting with 10 scenes, a new race (cyclops), 10 new NPCs, 3 new magic items, and 4 new monsters.",0.0,0,TTRPG
6066,Return to the Ghost Tower of Inverness,From the Front Page: A One-Round Dungeons & Dragons Living Greyhawk Core Special Event Legends have ever clustered thickly around the ghostly keep of Inverness. Many have entered the ruins in search of riches and eternal fame. Some few have managed to win free from the terrors lurking within but all have failed to retrieve the Soul Gem - a glowing white bauble as thick as a man's head! Dare you brave the dangers of Inverness in search of its legendary tresaure?,0.0,0,TTRPG
6071,F.A.T.A.L. Character Generator,"The F.A.T.A.L. Character Generator is a standalone executable file for MS Windows systems. It allows rapid generation of a character which is saved as a text file on program exit. The system solicits input, however for most choices if the user selects a specific outcome (rather than a random one), an additional ""mental illness"" penalty is placed upon the character. Note users must self-certify they are 18+ to use the software.",0.0,0,TTRPG
6148,Cold Steel Reign Player's Guide,"From the back of the book: From iconoclastic game designer Patrick Ellison, Mad hermit Games brings you Cold Steel Reign, a fantasy Wild West roleplaying game like no other. Set in a post-apocalyptic alternate history, Cold Steel Reign weaves a gritty talke of dark fantasy, tinged with the flash of gunfire. This is what Wild West roleplaying games were meant to be.",0.0,0,TTRPG
6152,The Haunted Lighthouse,"A limited edition module produced exclusively for Gen Con Indy 2003 where the module's author, Dave Arneson, was available to sign it. From the publisher: A terrible storm forces the players to take refuge in a lighthouse that warns travelers of a nearby moor. But what appears at first glance to be a safe haven is in fact a trap set by the malevolent ghost of a long-dead troll. Can the players find and slay the ghost troll? Or will they be trapped forever in the haunted lighthouse?",0.0,0,TTRPG
